name,configName,region,country,length,longestStraight,cornerCount,elevationDiff,surface,trackClass,bopClass,hasRain,hasSophy
WeatherTech Raceway Laguna Seca,,AMERICAS,United States of America,3602,453,11,55,TARMAC,TECHNICAL,LOW_SPEED,FALSE,TRUE
Watkins Glen International,Long Course,AMERICAS,United States of America,5423,560.5,11,41.1,TARMAC,HYBRID,MID_SPEED,FALSE,FALSE
Michelin Raceway Road Atlanta,,AMERICAS,United States of America,4088,1275,12,38,TARMAC,HYBRID,MID_SPEED,FALSE,TRUE
Daytona International Speedway,Tri-Oval,AMERICAS,United States of America,4023,914,3,0,TARMAC,SPEED,HIGH_SPEED,FALSE,FALSE
Daytona International Speedway,Road Course,AMERICAS,United States of America,5729,575,12,8.4,TARMAC,HYBRID,HIGH_SPEED,FALSE,FALSE
Autódromo de Interlagos,,AMERICAS,Brazil,4309,650,15,43,TARMAC,TECHNICAL,MID_SPEED,FALSE,TRUE
Circuit Gilles-Villeneuve,,AMERICAS,Canada,4361,1173,14,5,TARMAC,HYBRID,LOW_SPEED,FALSE,FALSE
Willow Springs International Raceway,Big Willow,AMERICAS,United States of America,3951,756,10,50,TARMAC,SPEED,MID_SPEED,FALSE,FALSE
Suzuka,Full Course,ASIA_OCEANIA,Japan,5807,1200,20,40,TARMAC,HYBRID,MID_SPEED,TRUE,TRUE
Fuji International Speedway,Full Course,ASIA_OCEANIA,Japan,4563,1475,16,40,TARMAC,SPEED,MID_SPEED,TRUE,FALSE
Tsukuba Circuit,Full Course,ASIA_OCEANIA,Japan,2045,445,8,5.3,TARMAC,TECHNICAL,LOW_SPEED,TRUE,TRUE
Autopolis International Racing Course,Full Course,ASIA_OCEANIA,Japan,4674,902,18,52,TARMAC,TECHNICAL,MID_SPEED,TRUE,FALSE
Mount Panorama,,ASIA_OCEANIA,Australia,6213,1916,23,174,TARMAC,HYBRID,HIGH_SPEED,FALSE,TRUE
Brands Hatch,Grand Prix Circuit,EUROPE_MIDDLE_EAST,United Kingdom,3946,475,9,35,TARMAC,TECHNICAL,LOW_SPEED,FALSE,TRUE
Circuit de la Sarthe,Full Course,EUROPE_MIDDLE_EAST,France,13629,1679,38,37.3,TARMAC,SPEED,HIGH_SPEED,TRUE,TRUE
Circuit de Spa-Francorchamps,Full Course,EUROPE_MIDDLE_EAST,Belgium,7004,751.8,21,104,TARMAC,HYBRID,HIGH_SPEED,TRUE,TRUE
Nürburgring,Nordschleife,EUROPE_MIDDLE_EAST,Germany,20832,2135,73,300,TARMAC,TECHNICAL,HIGH_SPEED,TRUE,FALSE
Nürburgring,Endurance,EUROPE_MIDDLE_EAST,Germany,23864,2135,85,300,TARMAC,HYBRID,HIGH_SPEED,TRUE,FALSE
Nürburgring,24h,EUROPE_MIDDLE_EAST,Germany,25378,2135,89,300,TARMAC,HYBRID,HIGH_SPEED,TRUE,TRUE
Nürburgring,Grand Prix,EUROPE_MIDDLE_EAST,Germany,5148,620,17,57,TARMAC,HYBRID,MID_SPEED,TRUE,FALSE
Red Bull Ring,Full Course,EUROPE_MIDDLE_EAST,Austria,4318,939,10,65.5,TARMAC,HYBRID,MID_SPEED,TRUE,TRUE
Autodromo Nazionale Monza,Full Course,EUROPE_MIDDLE_EAST,Italy,5793,938,11,13.5,TARMAC,SPEED,HIGH_SPEED,FALSE,TRUE
Autodromo Nazionale Monza,No Chicane,EUROPE_MIDDLE_EAST,Italy,5755,1248.7,9,13.5,TARMAC,SPEED,HIGH_SPEED,FALSE,FALSE
Yas Marina Circuit,,EUROPE_MIDDLE_EAST,United Arab Emirates,5281,1233,16,11,TARMAC,TECHNICAL,MID_SPEED,FALSE,FALSE
Circuit de Barcelona-Catalunya,Grand Prix Layout,EUROPE_MIDDLE_EAST,Spain,4655,1047,16,30,TARMAC,HYBRID,MID_SPEED,FALSE,TRUE
Circuit de Barcelona-Catalunya,No Chicane,EUROPE_MIDDLE_EAST,Spain,4730,1047,14,30,TARMAC,HYBRID,MID_SPEED,FALSE,FALSE
